found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash,"strategy opt = maxE(accum_reward - time) [<=21]{DroneController.DescisionState}->{yaw,x,y} : <> (DroneController.target || time >= 20)"
True,True,89.0482026143791,8.0691805322965,15,12.6423199335734,121,False,
True,True,92.8553921568627,4.58737326463064,8,13.1681238412857,56,False,
True,True,95.0285947712418,8.4287211894989,17,10.8832805156708,160,False,
False,True,66.625816993464,18.0023930907249,4,9.80756032466888,26,False,
True,True,92.6184640522876,5.41536960204442,10,12.7216526985168,66,False,
True,True,89.375,8.02097694476445,16,11.8992319256067,109,False,
True,True,88.937908496732,11.3202212055524,16,12.5182457715273,126,False,
True,True,91.7401960784314,4.87475354671478,8,11.8882703483105,65,False,
False,True,71.2459150326797,18.0434848944346,38,10.2704274654388,337,False,
False,True,92.9207516339869,18.1363995154699,38,12.3019126528188,303,False,
True,True,92.2303921568627,5.53233913183212,9,12.3271780808767,74,False,
True,True,94.2075163398693,17.1319687803586,34,12.0753831863403,291,False,
True,True,91.2173202614379,7.12598577340444,13,12.822520329402,97,False,
True,True,92.4346405228758,11.3960639357567,23,12.8984058939892,176,False,
True,True,90.1225490196078,8.60674962997437,14,12.6613305807114,134,False,
True,True,90.7107843137255,5.83392490148544,9,12.8879874812232,78,False,
True,True,90.9354575163399,8.34831601381302,17,10.8427798327278,151,False,
True,True,90.9722222222222,8.90625760157903,16,12.9142842888832,125,False,
False,True,90.2083333333333,18.0018552501996,37,11.5146608932598,332,False,
True,True,89.1789215686275,16.7379463990529,35,12.4421070575714,287,False,
True,True,98.296568627451,5.02900642553965,9,13.3978153069814,58,False,
False,True,86.4460784313726,18.0140881458918,37,12.2427902350555,281,False,
True,True,90.6454248366013,14.1573374390602,27,12.1092101203071,265,False,
True,True,91.9934640522876,4.35857685407003,7,13.053826877049,62,False,
False,True,88.6968954248366,18.0026158253352,38,11.4990670869225,334,False,
False,True,88.6397058823529,18.0017641623815,38,12.2300923560795,339,False,
True,True,87.9289215686275,7.73169113397598,14,12.2978729350226,104,False,
True,True,91.4133986928105,5.16689583857854,8,13.0183521807194,76,False,
True,True,93.9787581699346,9.28848191102346,17,12.3226093965418,159,False,
True,True,90.3145424836601,8.49297754764557,11,14.0226676030593,86,False,
True,True,102.058823529412,10.1210239211718,18,12.9626981152429,156,False,
True,True,88.4967320261438,10.811522269249,22,12.5078448924151,159,False,
False,True,89.7998366013072,18.0017246524493,37,12.7520686162485,337,False,
True,True,90.6127450980392,5.80382198492686,12,11.968899667263,58,False,
True,True,89.922385620915,16.3379074811935,33,12.6474280212865,294,False,
True,True,93.1495098039216,10.4119152188301,21,11.4942362762633,164,False,
True,True,90.0490196078431,4.9835284670194,9,12.0190434455872,67,False,
True,True,89.5915032679739,10.8771827141444,21,12.864601350966,176,False,
True,True,94.1176470588235,5.1790899793307,8,12.6495861411095,69,False,
True,True,96.0661764705882,7.78777891794841,18,9.67639361487495,153,False,
True,True,94.3423202614379,5.72642804781596,10,12.5058523416519,93,False,
True,True,89.6200980392157,11.8300665775935,22,12.7922399477525,204,False,
True,True,91.0416666666667,17.8203993717829,25,12.4519033622742,236,False,
False,False,23.5947712418301,18.0074545145035,1,10.0920579433441,1,False,
True,True,91.3357843137255,9.53219827016195,20,11.7682134747505,160,False,
True,True,88.5539215686275,8.99850634733836,20,9.96715215444565,160,False,
False,True,89.2197712418301,18.0012951493263,35,11.778045797348,303,False,
True,True,91.968954248366,8.48154541651408,16,11.7009087949991,146,False,
True,True,91.0049019607843,13.5788213253021,22,11.7208299528469,193,False,
True,True,92.8227124183007,5.48512399593989,9,13.2639591958788,88,False,
True,True,90.2165032679739,6.93377571105957,13,12.7875238565298,112,False,
True,True,89.8978758169935,11.9817366878192,24,12.5434951782227,167,False,
True,True,89.1053921568627,11.7742764870326,22,12.9352565570311,209,False,
True,True,91.7238562091503,5.91563579638799,12,10.9789866407712,105,False,
True,True,88.3210784313726,7.73837776184082,14,12.5057272911072,122,False,
False,True,97.5367647058824,18.00190726916,40,10.7559092700481,328,False,
False,True,87.7859477124183,18.1203234394391,36,13.3140844702721,315,False,
False,True,90.9967320261438,18.0018170396487,37,12.1208647328454,346,False,
True,True,91.891339869281,5.70350462198257,9,14.5475102530585,71,False,
True,True,90.9763071895425,17.1098700523376,31,12.7689397181234,286,False,
True,True,92.2058823529412,8.00325219233831,14,12.572115949222,136,False,
True,True,90.0898692810458,12.3482093016307,27,11.4068382227862,215,False,
True,True,89.6527777777778,12.6014985879262,26,12.0944937467575,243,False,
True,True,96.0702614379085,14.8485646565755,31,12.3836050725752,283,False,
False,True,87.5285947712418,18.0020349383354,39,12.3310331625816,303,False,
True,True,90.5555555555556,7.02081517378489,12,13.2046672105789,97,False,
False,True,88.3537581699346,18.0025169571241,40,11.3828689932823,345,False,
True,True,91.7687908496732,4.36954845587413,7,12.0009680816105,53,False,
True,True,93.9991830065359,8.07085313399633,15,13.1061477343241,125,False,
True,True,93.0433006535948,5.61983649333318,9,12.3575590981378,75,False,
True,True,90.7516339869281,4.2190261443456,6,13.2171035607656,50,False,
False,True,91.6911764705882,18.1917522470156,38,12.4615745105241,280,False,
True,True,87.6838235294118,10.9142235636711,24,10.6610672871272,199,False,
True,True,94.8529411764706,3.39248159726461,5,12.1498719215393,44,False,
True,True,92.4468954248366,9.04418847560883,17,12.4230361966526,141,False,
True,True,93.5049019607843,3.85019603967667,6,12.6401169300079,43,False,
True,True,87.8145424836601,8.45721997817357,17,12.084446738748,140,False,
