found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,89.82434640522877,2.9973433017730713,6,5.9467374086380005,46,False
True,True,97.11192810457516,5.188494253158569,12,5.918220003445943,86,False
True,True,92.32434640522877,4.522665373484293,9,6.229866319232517,78,False
True,True,92.14052287581698,3.2501025120417277,6,6.2967231671015425,59,False
True,True,94.32598039215686,5.9664047956466675,13,5.484257092842689,103,False
True,True,96.0702614379085,2.959743312994639,5,6.454469680786133,44,False
True,True,95.13071895424837,4.95608723560969,11,6.26307038827376,85,False
True,True,91.59722222222221,3.548042313257853,7,5.710312570844378,65,False
True,True,97.0016339869281,4.366487868626913,8,6.0863136947155,62,False
True,True,89.0686274509804,4.458756951491038,11,5.161181601611051,73,False
True,True,97.24673202614379,4.384287850062052,8,6.511256247758865,72,False
True,True,88.90114379084967,3.604056672255198,8,6.225378632545471,46,False
True,True,92.99428104575163,3.0862678209940593,5,6.039030838012695,37,False
True,True,93.11274509803921,3.145331350962321,7,5.785780804497855,46,False
True,True,95.89869281045752,3.0596750577290854,5,6.322184371948242,47,False
True,True,94.45261437908496,11.551758289337158,16,5.307647570967674,138,False
True,True,96.58088235294117,5.317784631252289,12,6.040567497412364,83,False
True,True,96.51960784313725,3.644325395425161,7,5.6193614687238425,50,False
True,True,92.85539215686275,3.9059394081433614,10,5.575619077682495,59,False
True,True,107.046568627451,5.698843908309937,14,5.408096790313721,107,True
True,True,92.16503267973856,3.0332759300867718,6,5.950824538866679,50,False
True,True,90.37990196078431,5.260151048501332,12,5.932716290156047,88,False
True,True,91.88725490196077,8.189873405297597,21,5.612426496687389,163,False
True,True,92.23447712418302,6.905764762560526,13,6.469672789940467,120,False
True,True,91.10702614379085,3.0113622188568114,5,6.160985612869263,46,False
True,True,92.74918300653596,7.164228053887685,15,6.012552913029989,134,False
True,True,92.19771241830065,6.2009897351264955,14,5.823123489107404,104,False
True,True,90.04084967320262,6.361162948608398,13,6.418847194084754,99,False
True,True,88.94607843137254,3.1879912495613096,6,6.348086714744568,53,False
True,True,92.17728758169935,11.825355676809947,24,6.710443754990895,207,False
True,True,89.56290849673204,3.5569857080777485,7,5.585855484008789,67,False
True,True,93.92565359477125,3.622612643241882,7,6.330850839614868,68,False
True,True,94.9142156862745,12.069209575653076,29,5.324931991511378,246,False
True,True,101.18872549019609,3.302711872259776,6,6.036586205164592,53,False
True,True,97.11601307189542,5.257557527224223,10,5.540249586105347,92,False
True,True,93.68872549019608,4.220697180430094,9,6.196875943077935,73,False
True,True,93.2843137254902,3.3379053592681887,7,6.412416049412319,61,False
False,False,93.09640522875817,18.002876754601797,40,6.270368009805679,352,False
