found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash,"strategy opt = maxE(accum_reward - time) [<=11]{DroneController.DescisionState}->{yaw,x,y} : <> (DroneController.target || time >= 10)"
False,True,72.6919934640523,18.0049446105957,53,5.35670864357139,431,False,
True,True,91.9812091503268,15.1505091985067,39,6.35176099263705,294,False,
True,True,90.5187908496732,5.28329064448675,13,5.40997824302086,103,False,
True,True,90.6781045751634,3.22881304423014,6,6.59262847900391,42,False,
True,True,90.6209150326797,5.98689229091009,13,6.43123789934012,122,False,
True,True,91.9771241830065,4.37977836926778,12,6.24700031677882,65,False,
True,True,91.0049019607843,5.80346131324768,13,5.80791337673481,111,False,
False,True,93.312908496732,18.0263143102328,48,5.72695459922155,438,False,
True,True,94.6813725490196,6.05995229085286,13,6.37678841444162,120,False,
False,False,70.6617647058824,18.0024274110794,46,4.79819284314695,401,False,
True,True,92.6470588235294,5.16432831287384,11,6.46711132743142,93,False,
True,True,93.6192810457516,5.00177462895711,11,6.97231593998996,88,False,
True,True,88.921568627451,4.2477459192276,10,6.76602659225464,55,False,
True,True,94.5874183006536,3.38675457239151,6,7.0048547188441,54,False,
True,True,91.8464052287582,4.80389630397161,11,5.68451298366893,78,False,
True,True,89.1462418300654,4.20376725196838,8,6.56693294644356,67,False,
False,True,89.5955882352941,18.0578457713127,48,5.7286972651879,403,False,
True,True,93.7622549019608,9.37806323369344,25,5.68874628067017,202,False,
True,True,92.2222222222222,2.99456933339437,6,6.85265970230103,41,False,
True,True,90.6617647058824,8.79579217433929,21,6.52425939696176,180,False,
True,True,92.0506535947712,17.1436145504316,33,6.23030078049862,269,False,
False,True,89.1503267973856,18.0048959453901,49,5.82094888784448,420,False,
True,True,92.8839869281046,4.64881998300552,11,6.28864717483521,79,False,
True,True,94.6772875816994,4.96883651018143,11,6.24285697937012,67,False,
True,True,92.3937908496732,5.72909643252691,13,7.25154830859258,107,False,
True,True,95.6985294117647,3.76002189715703,7,6.36505375589643,54,False,
False,True,90.6535947712418,18.0028340935707,46,5.22476202508678,428,False,
True,True,94.7753267973856,13.6101214210192,35,6.55886338097709,334,False,
True,True,91.3112745098039,5.49427665472031,12,6.85555372635524,93,False,
False,True,91.0375816993464,18.0034315228462,50,5.86588824748993,444,False,
True,True,90.6576797385621,12.7350908795993,39,4.34422988769336,330,False,
False,True,91.9485294117647,18.0026700615883,53,3.85219419677303,520,False,
True,True,92.1527777777778,6.00721153815587,12,6.03969301780065,111,False,
True,True,90.9313725490196,5.30853849649429,11,6.29996410283175,86,False,
True,True,92.7696078431373,4.3638681213061,8,6.57040271162987,69,False,
True,True,90.6699346405229,5.02221428553263,10,6.69248642921448,75,False,
True,True,90.1593137254902,7.47583873669306,18,6.13373774952359,152,False,
True,True,90.3758169934641,13.8181636452675,41,5.62401673851944,312,False,
True,True,90.5433006535948,4.95127819379171,11,6.70948048071428,76,False,
False,True,92.3692810457516,18.0031573017438,50,6.18648540019989,457,False,
True,True,93.296568627451,10.2127732396126,21,6.11091300419399,189,False,
True,True,90.4411764705882,6.12442033290863,13,6.67942164494441,110,False,
True,True,92.687908496732,4.37185753583908,10,6.88639845848084,59,False,
True,True,91.1968954248366,6.4523264447848,14,6.43888061387198,94,False,
True,True,89.9468954248366,5.96585157314936,12,6.34480196237564,101,False,
True,True,89.8692810457516,6.82195955514908,15,6.38499369621277,112,False,
True,True,90.8088235294118,4.24862954219182,8,6.31525811553001,55,False,
