found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,91.52777777777777,3.660665198167165,6,9.143545508384705,50,False
True,True,91.98937908496731,4.357622500260671,7,9.208021300179619,68,False
True,True,91.59722222222221,6.4856067299842834,14,9.064444814409528,115,False
True,True,90.9640522875817,4.6907362540562945,9,8.54572057723999,59,False
True,True,92.52859477124183,5.229981589317322,9,9.450166914198133,84,False
True,True,90.31045751633987,5.539093573888143,11,9.456455382433804,81,False
True,True,92.13643790849673,3.901504123210907,7,9.397890499659947,46,False
True,True,92.04656862745098,5.274463335673015,10,10.044293093681336,75,False
True,True,90.60049019607843,6.100779235363007,12,9.089727759361267,93,False
True,True,89.38725490196079,4.190187052885691,8,9.515070736408234,70,False
False,True,90.1797385620915,10.00211486419042,20,10.291416954994201,183,False
True,True,89.38316993464053,4.5507644255956015,9,8.657939672470093,79,False
True,True,88.62745098039215,5.458900133768718,10,9.727874135971069,81,False
True,True,91.97712418300654,4.41944146156311,8,9.36613205075264,73,False
True,True,89.40359477124183,4.118417870998383,7,9.03036914552961,56,False
False,True,110.33496732026144,10.03988668123881,26,7.388490759409391,184,True
True,True,92.44689542483661,5.973725203673045,10,9.45123507976532,87,False
True,True,91.99346405228758,5.091709470748901,9,9.74781052271525,82,False
True,True,93.20261437908496,4.016278302669525,7,9.530464819499425,55,False
True,True,91.56862745098039,6.459558014074961,14,9.479322126933507,110,False
