found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
False,False,49.10130718954248,2.082686658700307,5,6.084059238433838,30,False,True
False,False,47.982026143790854,2.002351971467336,4,4.977027773857117,37,False,True
