found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,95.1470588235294,6.75738751490911,11,13.3417958129536,91,False
True,True,95.3839869281046,5.35915456215541,10,11.5382732629776,77,False
True,True,92.4754901960784,9.13463750282923,19,11.5219290005533,117,False
True,True,89.8325163398693,5.61626235644023,9,11.8338203165266,81,False
True,True,90.1102941176471,6.23015187184016,11,11.2680359320207,92,False
True,True,93.7295751633987,4.46771335999171,7,11.9395670890808,65,False
True,True,93.0106209150327,5.121528784434,9,12.1608841949039,75,False
True,True,93.4885620915033,5.89630192518234,11,11.6266427256844,84,False
True,True,93.1495098039216,6.21196434895198,10,12.0714846611023,95,False
True,True,91.703431372549,6.91103506485621,12,11.0484603444735,94,False
True,True,89.015522875817,4.86693920294444,8,11.153827637434,58,False
True,True,97.9411764705882,6.31389616330465,12,10.1249088048935,100,False
True,True,90.8374183006536,7.13651581207911,13,10.7884539640867,115,False
True,True,90.968137254902,4.51192712783814,8,11.7992644906044,64,False
True,True,91.7238562091503,8.83426194190979,17,11.5870500312132,150,False
True,True,89.7712418300654,6.51006307601929,14,8.46415042877197,130,False
True,True,93.0964052287582,4.12054031292597,8,12.0816871523857,56,False
True,True,91.4991830065359,3.80521151224772,6,11.3136849800746,56,False
True,True,93.6315359477124,4.31429167191188,8,11.4921207129955,55,False
True,True,89.6364379084967,6.2958861430486,10,12.0088269233704,94,False
True,True,92.2998366013072,8.13744056224823,14,11.7386095694133,122,False
True,True,95.7924836601307,5.84244602521261,12,10.9513210455577,81,False
True,True,91.2418300653595,5.26326155265172,8,11.4991483390331,66,False
True,True,90.6454248366013,4.92042805751165,8,12.4182802438736,71,False
True,True,89.3218954248366,6.63009363412857,13,12.0575728233044,79,False
True,True,86.3357843137255,5.40439466238022,10,11.4652260065079,65,False
True,True,92.328431372549,3.89989246924718,6,11.9359904925028,53,False
True,True,97.953431372549,3.85752917130788,7,11.7100095067705,52,False
True,True,91.8627450980392,4.92991476853689,9,12.1242522133721,65,False
True,True,91.952614379085,6.30028848648071,11,10.4501081379977,97,False
True,True,95.4044117647059,5.52899765968323,10,11.4220221281052,73,False
True,True,94.5792483660131,10.2629340688388,23,9.0360411250073,204,False
True,True,91.5196078431373,5.17662806113561,8,12.5166033804417,71,False
True,True,89.4893790849673,11.792488304774,22,11.8378098227761,176,False
True,True,98.7377450980392,4.27327297528585,7,11.1720842974527,60,False
True,True,93.4763071895425,6.06614643335342,12,11.5932516058286,84,False
True,True,90.2614379084967,8.53927166859309,15,11.4886236349742,116,False
True,True,90.5514705882353,4.80238740841548,8,11.5689969062805,74,False
True,True,92.7410130718954,6.45078321297963,11,11.6491507400166,96,False
True,True,92.7777777777778,3.02761021455129,5,12.1295915126801,44,False
True,True,92.5571895424837,9.88447174628576,19,11.9386630936673,113,False
True,True,90.3676470588235,6.78095377286275,13,11.5535245675307,100,False
True,True,91.8872549019608,6.5636790951093,12,11.9063346385956,94,False
True,True,92.2794117647059,5.40842074950536,10,11.5694291830063,79,False
True,False,91.0743464052288,18.0003050724665,34,12.6277504107531,261,False
True,True,91.1437908496732,8.27469123999278,13,13.3433250097128,122,False
True,True,94.4403594771242,5.55304389397303,10,12.4367256879807,70,False
True,True,99.5996732026144,4.9232411980629,9,10.4580331643422,69,False
True,True,95.9272875816994,4.90009822845459,9,11.9354836410946,54,False
True,True,97.516339869281,5.53778710365295,9,12.1837294366625,80,False
True,True,88.2761437908497,3.78670684099197,6,11.2938032150269,59,False
True,True,95.5800653594771,3.40053774118423,5,12.1418888568878,48,False
True,True,88.6805555555556,4.96758793989817,9,11.2477933035957,74,False
True,True,94.0359477124183,6.11565514008204,10,12.1873418331146,91,False
True,True,94.0645424836601,3.92385312716166,6,11.2531892061234,60,False
True,True,93.7581699346405,6.07906597852707,7,11.4763754776546,65,False
True,True,98.1821895424837,5.12144410610199,10,11.0533284425736,73,False
True,True,90.2736928104575,9.94644799232483,19,10.7890509555214,148,False
True,True,91.8709150326797,4.29294294516246,7,10.7358097689492,61,False
