found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,89.4076797385621,7.21703412532806,12,16.2458579341571,75,False
True,True,89.9632352941176,6.9637921055158,10,14.9477327346802,77,False
True,True,91.2867647058824,10.7287907719612,18,15.9826030598746,159,False
True,True,90.9191176470588,5.84283234675725,9,16.8948901229435,72,False
True,True,91.2704248366013,5.66655030647914,9,16.3872230847677,82,False
True,True,92.9942810457516,6.25936942100525,10,17.1351109266281,76,False
True,True,91.4256535947712,5.87204034725825,9,17.052717394299,70,False
True,True,95.5187908496732,7.63647547165553,12,16.8466634949048,105,False
True,True,91.6503267973856,8.25394704341888,13,16.9125421414009,108,False
True,True,92.7736928104575,6.55278369188309,10,17.5646467447281,82,False
True,True,94.2156862745098,7.115267709891,12,16.3261017402013,91,False
True,True,93.484477124183,4.77000138759613,7,18.0536138330187,49,False
True,True,98.8480392156863,16.2062518517176,18,16.6962138149473,127,False
True,True,91.781045751634,4.24351380268733,6,17.1696274677912,47,False
True,True,95.3267973856209,5.58948182264964,8,18.5590105652809,57,False
True,True,88.0678104575163,4.87787986596425,7,16.3187425477164,58,False
True,True,95.2614379084967,4.93021341164907,7,16.9576699733734,63,False
True,True,89.468954248366,9.75328375101089,15,16.2797058582306,115,False
True,True,91.2745098039216,9.56422003507614,14,16.0493008579527,114,False
True,True,92.3570261437909,5.59026229381561,9,16.9522085719638,62,False
True,True,91.6503267973856,6.37291119893392,9,17.8739491568671,81,False
True,True,91.7279411764706,9.00158532857895,14,17.3601672989982,121,False
True,True,91.2295751633987,3.72946122487386,5,16.692232131958,44,False
True,True,93.0759803921569,7.99272445042928,12,14.5123597383499,97,False
True,True,95.4207516339869,8.48897845745087,14,16.4016736745834,101,False
True,True,93.4232026143791,6.46917922496796,9,17.1109672387441,79,False
True,True,91.0334967320261,10.2167544126511,17,16.5753214639776,104,False
True,True,97.4183006535948,5.26006929079692,8,16.6366198956966,64,False
True,True,91.9321895424837,7.00186612606049,11,17.2469242269343,74,False
True,True,94.7998366013072,6.83466872771581,11,17.0469952279871,72,False
True,True,94.1217320261438,7.57861221234004,12,18.0660732189814,89,False
True,True,89.9550653594771,5.15928575992584,7,17.0610594408853,61,False
False,True,42.0547385620915,18.0018285870552,1,13.9512190818787,2,False
True,True,91.9771241830065,8.60362348556519,14,16.212026647159,102,False
True,True,87.4754901960784,5.23383295933406,8,16.7038077116013,67,False
True,True,92.1078431372549,5.46574697494507,8,17.4380912482739,71,False
True,True,93.9910130718954,8.58525372346242,13,17.4712522946871,116,False
True,True,90.6903594771242,8.80567607482274,15,16.6967907746633,102,False
True,True,94.2361111111111,4.79831491708756,7,17.914662361145,52,False
False,True,90.5433006535948,18.0015606482824,29,16.8658899027726,245,False
True,True,92.3774509803922,3.7976077914238,6,16.2094088395437,37,False
True,True,89.6854575163399,3.70412808656692,5,17.498784160614,41,False
True,True,91.7116013071895,9.44851956367493,14,16.7321637868881,118,False
True,True,91.6339869281046,6.07058341503143,10,17.4976475954056,62,False
True,True,92.5531045751634,7.53383413950602,11,16.3980240821838,91,False
True,True,96.5482026143791,5.86883280674617,8,17.9130630791187,71,False
True,False,93.4232026143791,18.0016153852145,29,18.3467611937687,225,False
True,True,94.4117647058824,4.85682090520859,7,16.7236872059958,55,False
True,False,101.764705882353,18.1035517573357,30,16.9735694646835,237,False
True,True,89.4648692810458,5.39243346055349,8,17.3609043061733,74,False
True,True,91.4133986928105,5.65945382118225,8,17.9398550391197,70,False
True,True,91.703431372549,6.35195935169856,9,16.9656560950809,60,False
True,True,90.6454248366013,5.96620366175969,9,16.9275954829322,78,False
True,True,92.5449346405229,5.99619614283244,9,17.6127754582299,74,False
True,True,83.9501633986928,9.83947108586629,17,15.6566601360545,127,False
True,True,92.7736928104575,5.63643779357274,8,17.5418747663498,64,False
True,True,90.0857843137255,5.49675680398941,9,17.3263699213664,67,False
True,True,91.9607843137255,6.37281798124313,9,19.1390844451057,75,False
True,True,89.8815359477124,8.17226846218109,12,16.3998367389043,111,False
True,True,92.1037581699346,6.48464645544688,9,18.0357218583425,75,False
True,True,91.1683006535948,5.28535879055659,9,15.6399594677819,57,False
True,True,89.9142156862745,7.86401985486349,14,16.1446601322719,85,False
True,True,89.8243464052288,6.94692244529724,10,18.0504639863968,99,False
True,True,92.5653594771242,7.00411051511765,12,16.4018819332123,66,False
True,True,92.8472222222222,6.07752083142599,9,17.6919035646651,84,False
True,True,93.8235294117647,3.79139244953791,5,17.6000967979431,50,False
True,True,96.2990196078431,7.49924105008443,12,17.1979877352715,93,False
True,True,90.0571895424837,5.14076020320257,8,17.2891233563423,56,False
True,True,90.8455882352941,6.42770848671595,10,16.7545720100403,80,False
True,True,91.156045751634,8.13455974260966,14,16.0423722607749,93,False
True,True,93.9093137254902,6.30143344799678,11,17.7900133783167,69,False
True,True,90.7230392156863,10.299613014857,6,16.6970187425613,44,False
True,True,93.7254901960784,5.62167518933614,8,18.6062716543674,67,False
True,True,102.634803921569,6.74599804083506,11,16.1092063080181,84,False
True,True,98.4191176470588,5.13194337685903,7,18.0631956372942,65,False
True,True,91.8709150326797,8.39847009976705,11,16.7241548408162,94,False
True,True,95.8660130718954,3.83656134605408,5,17.3265258312225,46,False
True,True,89.3423202614379,7.3377857764562,12,16.7680069804192,77,False
True,True,92.5531045751634,5.51519072453181,8,16.92667517066,64,False
True,True,88.9705882352941,8.27005644639333,13,16.8014361308171,121,False
True,True,89.2483660130719,4.06938478151957,6,16.8549655675888,57,False
True,True,94.8733660130719,5.84893446365992,9,15.9158195919461,70,False
True,True,92.5163398692811,5.55476893583934,9,17.5639780892266,68,False
True,True,90.1184640522876,4.32861684163411,6,18.1064347426097,53,False
True,True,89.7589869281046,4.81938390731812,7,18.0600524970463,58,False
True,True,93.7009803921569,4.51840997139613,6,18.5148108005524,51,False
True,True,89.8080065359477,6.04238913059235,9,17.5773029327393,77,False
True,True,94.7916666666667,6.24531906048457,9,18.2130538357629,73,False
True,True,89.7058823529412,7.27338774998983,11,18.3767019185153,81,False
True,True,90.4779411764706,7.65159800847371,11,15.5513168681752,79,False
,,,7.13302865447822,10.4888888888889,17.0192185780469,82.2888888888889,
,,,,,,,
,,,3.0439671087688,4.70535063457094,0.888762730875036,37.3700728801292,
