found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash,"strategy opt = maxE(accum_reward - time) [<=11]{DroneController.DescisionState}->{yaw,x,y} : <> (DroneController.target || time >= 10)"
False,False,337.373366013072,10.0092789848646,4,8.52009105682373,32,True, 
True,False,105.996732026144,10.0015602548917,24,5.64429265260696,204,True,simulate [<=10001] {action} : (DroneController.target || time >= 10) under opt
False,True,89.718137254902,10.057920062542,26,6.21369254589081,224,False,
True,False,90.9354575163399,10.0686717510223,24,6.05014175176621,220,False,
True,True,95.7230392156863,3.68492091496785,7,7.209196635655,58,False,
True,True,88.3741830065359,4.28144870996475,9,6.29060808817546,62,False,
False,True,100.665849673203,10.0016419967016,27,5.1971559966052,260,False,
False,False,90.547385620915,10.057023425897,21,7.10984420776367,186,False,
True,False,91.5441176470588,10.0020293990771,27,5.88179875303198,216,False,
True,True,99.1053921568627,3.13783369064331,7,7.11923439162118,42,False,
False,True,83.6356209150327,10.0028898119926,25,5.74651171684265,194,False,
False,False,23.5334967320261,10.0083157221476,1,5.32251071929932,1,False,
False,False,541.168300653595,10.2255518078804,23,5.48350242946459,188,True,
False,False,105.637254901961,10.0312808990479,26,5.61345769808843,200,True,
True,True,89.9918300653595,4.17562616666158,9,6.42367047733731,49,False,
True,True,90.6821895424837,6.21413753430049,17,6.3375527157503,87,False,
True,True,92.8758169934641,3.06704959074656,5,6.82279357910156,39,False,
True,True,91.2785947712418,3.47565139532089,6,7.03369919459025,39,False,
True,True,93.0269607843137,3.4424022714297,7,6.55867964880807,53,False,
True,True,92.5040849673203,7.36017140547435,16,6.18503694236279,141,False,
False,False,90.6944444444444,10.1094149152438,25,6.76640422821045,207,False,
True,True,90,7.4899276137352,16,6.31380444765091,137,False,
True,False,685.959967320262,10.0450458844503,19,6.41850545531825,153,True,
True,True,96.5114379084967,2.99305140972137,5,7.03412427902222,30,False,
False,False,554.599673202614,10.0082629481951,5,5.0975848197937,45,True,
True,False,100.739379084967,10.0012299815814,27,6.36250510039153,212,False,
True,False,88.5906862745098,10.0031176964442,24,6.15399087468783,201,False,
True,True,90.2900326797386,4.27395504713059,10,6.3396803855896,83,False,
False,False,72.9125816993464,10.0031059741974,7,5.435478414808,40,False,
True,True,91.1887254901961,7.21922130584717,17,6.64567896899055,133,False,
False,True,88.6111111111111,10.0025182565053,26,5.90478136906257,222,False,
False,True,88.8807189542484,10.0015314141909,28,5.5233040537153,246,False,
True,True,92.9820261437908,7.27166288296382,14,7.25515946320125,130,False,
True,True,91.3480392156863,3.96102337837219,7,6.36392824990409,66,False,
True,False,90.3513071895425,10.0015193621318,24,6.4971049229304,204,False,
False,False,996.609477124183,10.0592213829358,14,10.7502349444798,102,True,
True,True,89.1339869281046,6.96096585988998,15,6.72342268625895,97,False,
False,True,89.2279411764706,10.0776861349742,28,5.97998493909836,230,False,
False,False,2329.74264705882,10.6121103564898,3,7.53880325953166,15,True,
True,True,88.7295751633987,6.68397744099299,18,6.45478783713447,117,False,
True,True,90.8333333333333,9.15666541258494,20,6.68762621879578,194,False,
True,True,95.7516339869281,4.97102163632711,10,7.00570147037506,75,False,
True,True,94.3014705882353,3.63057035207748,7,6.40812839780535,60,False,
False,True,92.5816993464052,10.0022737026215,25,6.54435667991638,223,False,
False,False,959.914215686275,10.0464950203896,1,26.9838237762451,4,True,
False,True,93.0269607843137,10.0012638449669,27,5.47518208291796,214,False,
False,False,458.116830065359,10.1573740164439,2,6.62413513660431,11,True,
True,True,98.6887254901961,3.40109224716822,7,6.10854186330523,62,False,
True,False,139.293300653595,10.0046503305435,17,5.90768627559438,117,True,
False,False,89.5179738562092,10.0015691479047,23,7.29566448667775,207,False,
False,False,89.906045751634,10.0040915767352,26,6.26085289625021,236,False,
True,True,93.5906862745098,4.20619297424952,8,7.05929902195931,71,False,
False,False,89.8774509803922,10.0035046577454,23,6.33479419998501,187,False,
False,False,1453.38235294118,10.0379468480746,4,24.0010666251183,34,True,
True,False,88.9787581699346,10.0029447714488,23,6.64338017546612,197,False,
False,False,90.171568627451,10.0401894609133,24,6.39101295669874,212,False,
True,True,91.6789215686275,5.04790606896083,11,6.75697556408969,78,False,
True,True,96.7892156862745,3.59152893225352,7,6.72651076316834,48,False,
True,True,95.718954248366,3.35439574718475,5,6.96195282936096,45,False,
False,False,89.468954248366,10.0379278143247,25,6.99722055435181,197,False,
True,True,88.1209150326797,8.29471172889074,21,5.88152929714748,134,False,
True,True,89.922385620915,3.64110537370046,8,6.72642078995705,58,False,
False,False,47.0098039215686,10.0022400299708,30,5.08757914702098,278,False,
False,True,91.6584967320261,10.0016820549965,20,6.92246630191803,163,False,
True,True,91.6993464052288,5.16401890913645,10,6.31446931362152,82,False,
True,False,91.2622549019608,10.0042268236478,24,6.25603619217873,215,False,
False,True,93.3496732026144,10.002004190286,27,5.81733639151962,212,False,
True,False,91.6217320261438,10.0042275269826,25,6.35611873626709,227,False,
False,False,48.5212418300654,10.0693701704343,28,5.2252133999552,236,False,
True,True,91.7442810457516,5.25196673472722,12,6.27234850327174,89,False,
False,False,97.577614379085,10.00150030454,21,5.80778620356605,155,False,
False,True,91.2704248366013,10.0022352099419,25,5.79852529525757,229,False,
True,True,96.2050653594771,3.58827054897944,7,5.89448612076896,57,False,
True,True,89.828431372549,4.67539189656576,11,6.4453883821314,90,False,
False,False,96.7606209150327,10.0038787841797,9,6.86492109298706,81,False,
True,False,92.2957516339869,10.0010966618856,28,6.01131984165737,207,False,
