found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,95.1470588235294,6.757387514909109,11,13.341795812953603,91,False
True,True,95.38398692810458,5.359154562155406,10,11.5382732629776,77,False
True,True,92.47549019607844,9.134637502829234,19,11.521929000553332,117,False
True,True,89.83251633986929,5.6162623564402265,9,11.833820316526625,81,False
True,True,90.11029411764706,6.230151871840159,11,11.268035932020707,92,False
True,True,93.72957516339869,4.467713359991709,7,11.93956708908081,65,False
True,True,93.01062091503269,5.121528784434001,9,12.160884194903904,75,False
True,True,93.48856209150327,5.8963019251823425,11,11.626642725684427,84,False
True,True,93.14950980392157,6.211964348951976,10,12.071484661102295,95,False
True,True,91.70343137254902,6.911035064856211,12,11.04846034447352,94,False
True,True,89.01552287581698,4.866939202944438,8,11.153827637434006,58,False
True,True,97.94117647058823,6.313896163304647,12,10.124908804893494,100,False
True,True,90.8374183006536,7.136515812079112,13,10.78845396408668,115,False
True,True,90.96813725490196,4.511927127838135,8,11.7992644906044,64,False
True,True,91.72385620915033,8.83426194190979,17,11.587050031213199,150,False
True,True,89.77124183006536,6.5100630760192875,14,8.464150428771973,130,False
False,False,1160.5841503267975,18.037187365690865,5,29.59250965118408,47,True
True,True,93.09640522875817,4.120540312925974,8,12.081687152385712,56,False
True,True,91.49918300653594,3.8052115122477215,6,11.313684980074564,56,False
True,True,93.63153594771242,4.314291671911875,8,11.49212071299553,55,False
True,True,89.63643790849673,6.295886143048604,10,12.00882692337036,94,False
True,True,92.29983660130719,8.13744056224823,14,11.738609569413322,122,False
True,True,95.79248366013073,5.842446025212606,12,10.951321045557657,81,False
True,True,91.24183006535948,5.2632615526517235,8,11.499148339033127,66,False
True,True,90.64542483660131,4.920428057511647,8,12.418280243873596,71,False
True,True,89.32189542483661,6.630093634128571,13,12.057572823304396,79,False
True,True,86.3357843137255,5.404394662380218,10,11.465226006507873,65,False
True,True,92.32843137254902,3.8998924692471824,6,11.935990492502848,53,False
True,True,97.95343137254902,3.8575291713078816,7,11.710009506770543,52,False
True,True,91.86274509803921,4.929914768536886,9,12.124252213372124,65,False
True,True,91.95261437908496,6.300288486480713,11,10.450108137997715,97,False
True,True,95.40441176470588,5.5289976596832275,10,11.422022128105164,73,False
True,True,94.57924836601308,10.262934068838755,23,9.036041125007298,204,False
True,True,91.51960784313725,5.17662806113561,8,12.516603380441666,71,False
False,False,570.8415032679738,18.01004405816396,11,8.687183726917613,85,True
True,True,89.48937908496733,11.792488304773967,22,11.837809822776101,176,False
True,True,98.73774509803923,4.273272975285848,7,11.172084297452654,60,False
True,True,93.47630718954248,6.066146433353424,12,11.593251605828604,84,False
True,True,90.26143790849673,8.53927166859309,15,11.488623634974163,116,False
True,True,90.55147058823529,4.802387408415476,8,11.568996906280518,74,False
True,True,92.74101307189542,6.450783212979634,11,11.64915074001659,96,False
True,True,92.77777777777779,3.0276102145512898,5,12.129591512680054,44,False
True,True,92.55718954248367,9.884471746285756,19,11.938663093667282,113,False
True,True,90.36764705882354,6.780953772862753,13,11.553524567530705,100,False
True,True,91.88725490196077,6.563679095109304,12,11.906334638595581,94,False
True,True,92.27941176470588,5.408420749505361,10,11.569429183006287,79,False
True,False,91.07434640522875,18.00030507246653,34,12.627750410753137,261,False
True,True,91.1437908496732,8.274691239992778,13,13.343325009712807,122,False
True,True,94.44035947712418,5.553043893973032,10,12.436725687980651,70,False
True,True,99.59967320261438,4.923241198062897,9,10.458033164342245,69,False
False,False,924.6364379084968,18.027153642972312,6,24.029840151468914,59,True
True,True,95.92728758169935,4.90009822845459,9,11.935483641094631,54,False
True,True,97.51633986928104,5.5377871036529545,9,12.183729436662462,80,False
True,True,88.27614379084967,3.786706840991974,6,11.293803215026855,59,False
True,True,95.58006535947713,3.400537741184235,5,12.141888856887817,48,False
True,True,88.68055555555556,4.967587939898173,9,11.24779330359565,74,False
True,True,94.0359477124183,6.115655140082041,10,12.187341833114624,91,False
True,True,94.06454248366013,3.923853127161662,6,11.253189206123352,60,False
True,True,93.75816993464052,6.079065978527069,7,11.476375477654594,65,False
True,True,98.18218954248366,5.12144410610199,10,11.053328442573548,73,False
True,True,90.27369281045752,9.94644799232483,19,10.789050955521432,148,False
True,True,91.87091503267973,4.292942945162455,7,10.735809768949236,61,False
True,True,90.04493464052288,3.76201167901357,6,12.280411203702291,56,False
True,True,94.79166666666666,4.553078854084015,8,12.479268550872803,58,False
True,True,93.03921568627452,5.907940157254537,10,11.490575504302978,77,False
True,True,95.13888888888889,12.19429592291514,23,10.25381388871566,189,False
True,True,95.24509803921568,4.47299907207489,7,12.540062529700142,69,False
True,True,94.86111111111111,6.491298309961954,12,11.493738750616709,107,False
True,True,96.55228758169935,5.842861592769623,10,12.859453201293945,77,False
True,True,94.59558823529412,5.465649994214376,11,10.468642408197576,80,False
True,True,92.72875816993465,6.686192599932353,12,11.302915453910828,87,False
True,True,91.74019607843137,4.293321319421133,7,12.216143608093262,57,False
True,True,89.375,3.887310206890106,6,12.099614222844442,48,False
True,True,92.0016339869281,5.492520515124003,9,11.62547861205207,80,False
True,True,90.05718954248366,4.779152691364288,9,11.635673575931126,81,False
True,True,87.90032679738562,8.356246749560038,16,11.343005552887917,127,False
True,True,90.68218954248366,4.641534487406413,9,12.067899783452352,60,False
True,True,92.53676470588236,8.226807069778442,16,11.314071223139763,121,False
True,True,94.57107843137254,3.175626508394877,5,11.60073218345642,47,False
True,True,89.1625816993464,5.339876703421274,9,12.058543390697903,74,False
True,True,94.62009803921568,5.0175753672917685,8,12.199191987514496,76,False
True,True,91.20915032679738,5.51433648665746,9,11.619806607564291,72,False
True,True,89.66911764705883,3.875842579205831,6,11.548462828000387,54,False
True,True,90.22875816993464,4.637174832820892,8,11.384053707122803,74,False
True,True,95.69444444444444,4.623859516779581,8,11.565155237913132,48,False
True,True,91.27042483660131,8.75880451599757,17,11.828200718935799,101,False
True,True,92.31209150326798,7.64919159412384,15,10.96043488184611,108,False
True,True,90.30637254901961,7.168825284639994,13,11.239746919045082,108,False
True,True,91.3970588235294,5.079564889272054,9,10.69231785668267,78,False
True,True,90.34722222222223,7.284739915529887,14,10.81796668257032,127,False
True,True,91.45833333333333,6.4261050422986346,13,10.287627348533043,106,False
True,True,92.84722222222223,6.765593810876211,14,11.50462714263371,97,False
True,True,93.15359477124183,5.799636034170787,10,12.368167996406555,81,False
True,True,92.00980392156862,5.442941613992056,10,11.654164743423461,80,False
True,True,92.18954248366013,5.3951151132583615,11,11.47732879898765,67,False
True,True,92.47957516339869,8.083209733168284,16,10.991359233856201,114,False
False,False,1563.0923202614379,18.23120644489924,3,121.45624550183614,30,True
True,True,90.55147058823529,3.915649696191152,6,11.991166353225708,50,False
True,True,92.06699346405229,6.0661372423171995,12,9.756990691026052,93,False
True,True,93.75408496732027,4.061395748456319,7,11.553705521992274,49,False
